"College_Name","Class rank","Academic GPA","Standardized test scores","Application Essay","Recommendation(s)","Interview","Extracurricular activities","Talent/ability","Character/personal qualities","First generation","Alumni/ae relation","Geographical residence","State residency","Religious affiliation/commitment","Racial/ethnic status","Volunteer work","Work experience","Rigor of secondary school record","Level of applicant’s interest","UNITID","APPLCN","APPLCNM","APPLCNW","APPLCNAN","APPLCNUN","ADMSSN","ADMSSNM","ADMSSNW","ADMSSNAN","ADMSSNUN","ENRLT","ENRLM","ENRLW","ENRLAN","ENRLUN"
"saint vincent college",1,3,1,2,1,2,1,0,2,1,1,1,0,0,0,1,1,3,0,215798,2163,1307,821,NA,35,1587,922,653,NA,12,342,215,127,NA,0
"sam houston state university",0,3,2,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,227881,16316,5564,10752,NA,0,13809,4549,9260,NA,0,3394,1246,2148,NA,0
"san jose state university",0,3,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,3,0,122755,34002,17189,16813,NA,0,26083,11935,14148,NA,0,4037,2131,1906,NA,0
"siena college",1,3,1,1,2,2,1,1,1,1,1,1,0,0,1,1,1,3,1,195474,8344,3528,4815,1,0,6704,2807,3897,0,0,864,387,477,NA,0
"smith college",2,3,1,3,3,2,2,2,3,1,1,1,0,0,1,1,1,3,0,167835,7269,0,7269,NA,0,1662,NA,1662,NA,0,619,NA,619,NA,0
"southeastern oklahoma state university",3,3,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,207847,915,468,447,NA,0,679,339,340,NA,0,408,192,216,NA,0
"spelman college",2,3,3,3,3,0,2,1,3,0,1,1,0,0,0,2,1,NA,1,141060,13649,0,13649,NA,0,3875,NA,3875,NA,0,577,NA,577,NA,0
"st mary s college of maryland",2,3,1,3,3,1,3,3,3,1,1,1,1,0,1,2,1,3,2,163912,2934,1148,1786,NA,0,2268,845,1423,NA,0,410,157,253,NA,0
"stephen f austin state university",3,3,3,0,0,NA,1,1,1,1,1,1,1,0,NA,1,1,3,NA,228431,9944,3254,6690,NA,0,8901,2817,6084,NA,0,1867,688,1179,NA,0
"stetson university",2,3,1,2,2,2,2,2,2,0,1,1,1,0,1,2,2,3,0,137546,7344,3002,4336,2,4,6889,2772,4113,2,2,666,269,395,2,0
"stony brook university",1,3,3,2,2,1,1,1,1,1,1,1,1,0,0,1,1,NA,1,196097,40513,18093,22420,NA,0,19908,8324,11584,NA,0,3347,1611,1736,NA,0
